Medium Danceability,Low Energy,A#,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,Low Energy,G,Loud,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,Low Energy,C#,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
High Danceability,High Energy,F,Loud,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,Low Energy,C,Loud,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,High Energy,A#,Soft,MinorModality,Music & Speech,High Acousticness,High Instrumentalness,No Audience,Cheerful,Medium Tempo
High Danceability,Low Energy,G,Loud,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Low Danceability,Low Energy,G,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,High Energy,F,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Low Tempo
High Danceability,High Energy,E,Loud,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Low Tempo
Medium Danceability,Low Energy,F,Loud,MajorModality,Less Vocal,Low Acousticness,Low Instrumentalness,No Audience,Sad,Medium Tempo
Medium Danceability,Low Energy,B,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Sad,Medium Tempo
Medium Danceability,Low Energy,G#,Loud,MajorModality,More Vocal,High Acousticness,High Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,High Energy,D,Loud,MajorModality,More Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,Low Energy,A,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Low Tempo
Low Danceability,Low Energy,C,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
Low Danceability,High Energy,C,Soft,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,Low Energy,A,Loud,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,Low Energy,F,Loud,MinorModality,Less Vocal,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
Low Danceability,Low Energy,F,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Sad,Medium Tempo
Medium Danceability,Low Energy,G,Loud,MajorModality,Music & Speech,High Acousticness,High Instrumentalness,No Audience,Cheerful,Low Tempo
Low Danceability,Low Energy,F,Soft,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Sad,High Tempo
Medium Danceability,Low Energy,G,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,Low Energy,B,Loud,MinorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Sad,Medium Tempo
High Danceability,Low Energy,C,Loud,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
High Danceability,High Energy,D#,Loud,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
High Danceability,High Energy,C,Soft,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
